#,Name,Symbol,MarketCap,Price,CirculatingSupply,Volume24h,%1h,%24h,%7d
145,WINGS  Wings,WINGS,187589992.0,2.09,89708333.0,24505500.0,-0.72,48.5,80.58
146,XPA  XPlay,XPA,186343000.0,0.186343,1000000000.0,50528.0,0.44,5.28,71.66
147,1ST  FirstBlood,1ST,185113235.0,2.16,85558371.0,15899600.0,-1.16,24.46,140.77
148,ECA  Electra,ECA,184365971.0,0.008117000000000001,22714931733.0,47359.0,-0.01,0.19,728.33
149,BCO  BridgeCoin,BCO,180153180.0,6.67,27000000.0,340915.0,5.13,5.97,9.08
150,EMC  Emercoin,EMC,176204289.0,4.28,41163360.0,3111500.0,-0.41,7.12,40.68
151,PPP  PayPie,PPP,173806050.0,2.11,82500000.0,178220.0,12.85,9.51,24.3
152,PART  Particl,PART,172196081.0,21.99,7831865.0,470772.0,-0.1,6.36,17.21
153,FUEL  Etherparty,FUEL,171623883.0,0.35375700000000004,485146253.0,13263300.0,0.8,-5.41,114.45
154,WABI  WaBi,WABI,171272401.0,3.79,45248033.0,22083200.0,1.9,23.35,114.21
155,MOON  Mooncoin,MOON,170051717.0,0.000762,223220641105.0,4718050.0,-2.37,-15.98,251.08
156,ST  Simple Token,ST,168916095.0,0.8431870000000001,200330526.0,13131600.0,1.95,7.96,114.7
157,SRN  SIRIN LABS Token,SRN,164845012.0,1.67,98939459.0,2196420.0,-0.32,10.96,60.88
158,ZEN  ZenCash,ZEN,163757974.0,55.6,2945113.0,3157880.0,-0.42,14.3,3.5
159,GVT  Genesis Vision,GVT,163512139.0,43.87,3726781.0,37633700.0,3.43,77.35,457.68
160,TNT  Tierion,TNT,159852222.0,0.373067,428481269.0,16913000.0,1.57,18.5,94.26
161,MOD  Modum,MOD,158972200.0,8.7,18266200.0,8592590.0,6.04,17.42,25.39
162,UTK  UTRUST,UTK,158558736.0,0.915165,173256993.0,6121570.0,4.81,16.27,191.7
163,DCT  DECENT,DCT,157291129.0,3.07,51306089.0,2493510.0,-0.24,12.65,40.47
164,XSH  SHIELD,XSH,157124109.0,0.329881,476305422.0,2483010.0,-3.01,62.56,254.78
165,XCP  Counterparty,XCP,153644293.0,58.7,2617418.0,14668800.0,-0.77,28.77,93.63
166,PPC  Peercoin,PPC,151918285.0,6.19,24559833.0,2432490.0,0.66,6.57,44.81
167,ATM  ATMChain,ATM,150677849.0,0.03047,4945153858.0,663943.0,7.65,24.82,77.02
168,THC  HempCoin,THC,149480758.0,0.6488470000000001,230379054.0,5345880.0,-3.29,9.06,11.0
169,XAS  Asch,XAS,144585158.0,1.58,91705193.0,4556460.0,4.59,17.57,33.04
170,NULS  Nuls,NULS,143453342.0,6.09,23564882.0,25093800.0,1.69,18.59,181.57
171,LBC  LBRY Credits,LBC,143261575.0,1.11,128656490.0,7305860.0,0.99,8.24,69.82
172,MLN  Melon,MLN,142968888.0,238.52,599400.0,1955050.0,-0.49,-3.4,97.87
173,RISE  Rise,RISE,142963825.0,1.26,113139200.0,8108540.0,-1.34,18.85,1.97
174,PRL  Oyster Pearl,PRL,142722772.0,4.48,31823026.0,20662600.0,-5.45,86.55,762.58
175,EDO  Eidoo,EDO,142588420.0,6.3,22620193.0,26126700.0,-0.31,18.21,72.2
176,QRL  Quantum Resis...,QRL,140029240.0,2.69,52000000.0,2622460.0,-0.94,24.78,35.51
177,MTL  Metal,MTL,139976599.0,7.25,19300994.0,38149400.0,-0.01,-1.63,2.83
178,CDT  CoinDash,CDT,136447653.0,0.24337399999999998,560650080.0,12053500.0,-3.22,-7.7,79.05
179,VIA  Viacoin,VIA,136376434.0,5.94,22951191.0,3285030.0,-1.53,12.58,35.7
180,NYC  NewYorkCoin,NYC,133471509.0,0.001034,129032781759.0,2028970.0,-0.06,502.46,797.42
181,LA  LAToken,LA,131838155.0,1.69,77839404.0,3708500.0,-10.33,84.32,221.6
182,AEON  Aeon,AEON,129752697.0,8.86,14651140.0,875159.0,2.36,19.67,68.06
183,CLOAK  CloakCoin,CLOAK,128244030.0,25.38,5053693.0,1158340.0,-1.99,-4.7,-13.2
184,GRS  Groestlcoin,GRS,126829184.0,1.83,69166099.0,3864290.0,2.2,5.52,31.09
185,LUN  Lunyr,LUN,125070535.0,54.43,2297853.0,41634300.0,4.7,-8.8,140.77
186,DTR  Dynamic Tradi...,DTR,124278545.0,0.12753499999999998,974466187.0,639341.0,0.59,39.64,110.69
187,MGO  MobileGo,MGO,124028096.0,1.27,98028877.0,311067.0,-1.07,-3.54,12.15
188,SPANK  SpankChain,SPANK,123894515.0,0.412922,300043386.0,1605980.0,1.23,20.32,154.09
189,YOYOW  YOYOW,YOYOW,123075713.0,0.531791,231436247.0,18338700.0,-0.86,-7.87,93.86
190,WGR  Wagerr,WGR,120724551.0,0.659697,183000000.0,978702.0,-0.79,-0.32,27.97
191,VOX  Voxels,VOX,117637380.0,0.560178,210000000.0,11213700.0,-1.11,7.65,-1.01
192,AGRS  Agoras Tokens,AGRS,116792340.0,2.78,42000000.0,314857.0,-0.07,2.01,-0.76
